Cohort,Chrom,Inv,Allele_N,Obs_Freq_Var,Scaling,Sampled_Variance
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.25118864315095,4.012516002413906e-06
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.31622776601682756,3.1808956225941355e-06
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.3981071705534839,2.5300982487293167e-06
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.501187233627255,2.0030795765474128e-06
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.630957344480171,1.5960198295104454e-06
Cntrl 2,2L,Adult,400,2.7682105222092763e-06,0.794328234724253,1.2689506483693775e-06
Cntrl 2,2R,Adult,400,0.0005295878605074763,3.1622776601683795e-05,0.048385385582531956
Cntrl 2,2R,Adult,400,0.0005295878605074763,3.9810717055349695e-05,0.03834725489715806
Cntrl 2,2R,Adult,400,0.0005295878605074763,5.011872336272715e-05,0.02750124115942161
Cntrl 2,2R,Adult,400,0.0005295878605074763,6.309573444801917e-05,0.01976618005630634
Cntrl 2,2R,Adult,400,0.0005295878605074763,7.94328234724279e-05,0.01649743421436652
Cntrl 2,2R,Adult,400,0.0005295878605074763,9.999999999999958e-05,0.012913312292052271
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.0001258925411794161,0.009753583713781837
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.00015848931924611044,0.007866080388241584
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.00019952623149688666,0.006151573568786701
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.00025118864315095617,0.004807958242417411
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.00031622776601683534,0.003808148562572277
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.00039810717055349367,0.003016491922687873
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.0005011872336272673,0.002378208728007858
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.0006309573444801866,0.001900426468050235
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.0007943282347242724,0.001501779088938447
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.0009999999999999877,0.0011867172734357297
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.0012589254117941508,0.000937010276813835
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.0015848931924610915,0.0007472946137843766
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.0019952623149688503,0.0005917773757699902
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.0025118864315095413,0.0004699759682227365
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.003162277660168328,0.0003731841623999119
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.003981071705534904,0.00029664024403925504
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.005011872336272633,0.0002357549826928619
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.006309573444801814,0.0001872062450897343
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.00794328234724266,0.0001482529822627214
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.009999999999999796,0.00011793682213634726
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.012589254117941404,9.366361688523867e-05
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.015848931924610784,7.413073047610735e-05
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.019952623149688337,5.896725578501158e-05
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.025118864315095205,4.696970456049195e-05
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.031622776601683014,3.737854643820034e-05
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.039810717055348714,2.97093918620657e-05
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.050118723362725916,2.354957959448755e-05
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.06309573444801762,1.8659476561608524e-05
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.07943282347242595,1.4801175091825996e-05
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.09999999999999713,1.1784889028629349e-05
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.125892541179413,9.335926549492703e-06
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.15848931924610654,7.439127423054039e-06
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.19952623149688176,5.911114726880949e-06
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.25118864315095,4.689227416809649e-06
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.31622776601682756,3.733647044380495e-06
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.3981071705534839,2.9615829102960865e-06
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.501187233627255,2.3502117151547692e-06
Cntrl 2,2R,Adult,400,0.0005295878605074763,0.630957344480171,1.8659933910187678e-06
