Library,Line,Cohort,Chrom,Inv,Sample_Ind_N,Inv_F,Std_F,N_Inv,N_Std,N_Recomb,N_Mismap,N_Multmap
418emb3L.2a,418,Embryo,3L,Ok,1253,0.14524964853188022,0.8547503514681198,64986,382423,0,902,0
418emb3L.2b,418,Embryo,3L,Ok,1253,0.14669807319474956,0.8533019268052504,119327,694092,0,599,0
418emb3L.3a,418,Embryo,3L,Ok,1253,0.14328286872484275,0.8567171312751573,80342,480381,0,1176,0
418emb3L.3b,418,Embryo,3L,Ok,1253,0.14424266254739504,0.855757337452605,128394,761731,0,612,0
418emb3L.4a,418,Embryo,3L,Ok,1253,0.14784466574292826,0.8521553342570718,88988,512914,0,2482,0
418emb3L.4b,418,Embryo,3L,Ok,1253,0.1493886428464527,0.8506113571535473,168691,960518,0,1618,0
418emb3L.5a,418,Embryo,3L,Ok,1253,0.1322047853382785,0.8677952146617215,34683,227660,0,560,0
418emb3L.5b,418,Embryo,3L,Ok,1253,0.13154131555932344,0.8684586844406765,53996,356491,0,262,0
418emb3L.6a,418,Embryo,3L,Ok,1253,0.1396401520821483,0.8603598479178517,23322,143693,0,379,0
418emb3L.6b,418,Embryo,3L,Ok,1253,0.13948882771546547,0.8605111722845346,38105,235071,0,239,0
418emb3R.1a,418,Embryo,3R,K,1253,0.18439470649920048,0.8156052935007996,38861,171888,0,944,0
418emb3R.1b,418,Embryo,3R,K,1253,0.18518224529637656,0.8148177547036235,86319,379811,0,1160,0
418emb3R.2a,418,Embryo,3R,K,1253,0.1892087846714424,0.8107912153285576,30533,130839,0,636,0
418emb3R.2b,418,Embryo,3R,K,1253,0.19171173621873916,0.8082882637812608,53561,225822,0,507,0
418emb3R.3a,418,Embryo,3R,K,1253,0.19120139291932675,0.8087986070806732,8236,34839,0,174,0
418emb3R.3b,418,Embryo,3R,K,1253,0.19218300813505412,0.8078169918649458,12568,52828,0,132,0
418emb3R.4a,418,Embryo,3R,K,1253,0.17728804396792505,0.8227119560320749,49193,228282,0,1190,0
418emb3R.4b,418,Embryo,3R,K,1253,0.1791561971766641,0.8208438028233359,78431,359349,0,853,0
418emb3R.5a,418,Embryo,3R,K,1253,0.1820989985348096,0.8179010014651904,48222,216590,0,2195,0
418emb3R.5b,418,Embryo,3R,K,1253,0.18587599564551324,0.8141240043544867,75469,330549,0,1254,0
192eaf2L,192,Early ♀,2L,t,259,0.345760013177039,0.6542399868229609,12595,23832,0,28,0
192eaf2R,192,Early ♀,2R,NS,259,0.20661031581144282,0.7933896841885572,21779,83632,0,84,0
192eaf3L,192,Early ♀,3L,Ok,259,0.022423784328546234,0.9775762156714538,623,27160,0,50,0
192eaf3R,192,Early ♀,3R,K,259,0.11042695061122167,0.8895730493887783,17091,137681,0,402,0
251eaf2L,251,Early ♀,2L,t,194,0.3114466777975592,0.6885533222024408,33763,74644,0,80,0
251eaf2R,251,Early ♀,2R,NS,194,0.287165955535594,0.712834044464406,46035,114273,0,199,0
251eaf3L,251,Early ♀,3L,Ok,194,0.06988856589147287,0.9301114341085271,8078,107506,0,92,0
251eaf3R,251,Early ♀,3R,K,194,0.42595890410958903,0.574041095890411,422892,569908,0,3833,0
254eaf2L,254,Early ♀,2L,t,234,0.33634763006291346,0.6636523699370865,91313,180171,0,231,0
254eaf2R,254,Early ♀,2R,NS,234,0.2277199230201982,0.7722800769798018,37983,128814,0,55,0
254eaf3L,254,Early ♀,3L,Ok,234,0.019632544068984483,0.9803674559310155,2213,110508,0,175,0
254eaf3R,254,Early ♀,3R,K,234,0.2920708075835341,0.7079291924164659,41826,101379,0,461,0
418eaf2L,418,Early ♀,2L,t,68,0.3582924974653599,0.6417075025346402,16963,30381,0,43,0
418eaf2R,418,Early ♀,2R,NS,68,0.2871135039771258,0.7128864960228742,18878,46873,0,58,0
418eaf3L,418,Early ♀,3L,Ok,68,0.02821931049296531,0.9717806895070347,1051,36193,0,66,0
418eaf3R,418,Early ♀,3R,K,68,0.27524671311914745,0.7247532868808526,17460,45974,0,454,0
192laf2L,192,Late ♀,2L,t,272,0.3663898387884709,0.633610161211529,15000,25940,0,30,0
